Sample ID,Pb (ppb),,
1,0.344,,Max ppb
2,8.133,,158
4,1.111,,
5,8.007,,
6,1.951,,
7,7.2,,
8,40.63,,
9,1.1,,
12,10.6,,
13,6.2,,
15,4.358,,
16,24.37,,
17,6.609,,
18,4.062,,
19,2.484,,
20,0.438,,
21,1.29,,
22,0.548,,
23,3.131,,
24,120,,
25,2.911,,
26,16.52,,
27,1.984,,
28,5.367,,
29,5.5,,
30,0.639,,
31,6.087,,
31,10.32,,
33,66.88,,
34,20.41,,
35,109.6,,
36,5.06,,
37,2.774,,
38,4.453,,
39,0.4,,
40,0.974,,
41,3.228,,
42,12.55,,
43,0.501,,
44,2.448,,
45,5.508,,
46,1.293,,
47,4.699,,
48,6.093,,
49,0.8,,
50,1.626,,
51,2.576,,
52,2.362,,
53,1.585,,
54,3.058,,
55,2.423,,
56,30.91,,
57,4.47,,
58,2.172,,
59,1.8,,
63,0.965,,
65,7.636,,
66,3.158,,
67,105.3,,
68,4.476,,
69,2.828,,
71,2.481,,
72,11.52,,
73,3.784,,
74,1.344,,
75,11.93,,
76,10.96,,
77,3.341,,
78,1.229,,
79,6.3,,
79,5.153,,
80,6.054,,
82,31.14,,
83,102.7,,
84,1.38,,
85,1.132,,
87,3.232,,
88,0.507,,
90,8.561,,
91,9.997,,
92,4.152,,
93,75.82,,
95,138.8,,
96,0.8,,
97,7.244,,
98,1.621,,
99,1.032,,
100,0.866,,
101,2.525,,
102,9.408,,
103,0.739,,
104,0.9,,
105,1.403,,
106,5.655,,
107,31.06,,
108,1.469,,
109,23.85,,
110,9.766,,
111,4.69,,
112,4.066,,
113,0.846,,
114,2.054,,
115,3.744,,
116,12.9,,
117,0.543,,
118,6.877,,
119,0.552,,
121,59,,
122,0.349,,
123,4.764,,
124,0.832,,
125,1.224,,
126,15.9,,
127,5.667,,
128,3.564,,
129,0.475,,
130,5.3,,
131,1.166,,
132,0.684,,
133,6.347,,
134,10.56,,
135,2.273,,
136,1.571,,
137,5.402,,
138,43.19,,
139,1.492,,
140,66.24,,
141,1.799,,
142,1.861,,
143,2.672,,
144,3.741,,
145,1.934,,
146,27.05,,
147,1.174,,
148,2.325,,
149,1.966,,
150,1.959,,
151,0.823,,
152,11.2,,
153,5.668,,
154,6.261,,
155,4.797,,
156,0.64,,
158,8.713,,
159,2.544,,
161,0.41,,
162,32.85,,
163,12.87,,
164,38.02,,
165,2.435,,
166,2.997,,
167,11,,
168,6.219,,
169,8.8,,
170,8.071,,
171,3.262,,
172,2.267,,
173,0.922,,
174,27.02,,
176,0.906,,
177,2.85,,
178,1.852,,
179,5.35,,
180,25.21,,
182,15.55,,
183,0.793,,
184,5.068,,
185,26.64,,
186,1.867,,
189,19.16,,
191,28.7,,
192,20.22,,
193,2.9,,
194,18.86,,
195,2.816,,
196,118.4,,
197,27.45,,
198,1.2,,
200,4.681,,
201,11.57,,
202,6.557,,
203,3.4,,
204,0.7,,
205,158,,
206,0.977,,
207,8.471,,
208,11.47,,
209,5.228,,
210,0.956,,
211,1.671,,
212,1.152,,
213,0.5,,
214,10.74,,
215,3.9,,
216,2.149,,
217,1.1,,
218,7.087,,
219,1.329,,
220,6.2,,
221,0.8,,
222,9.3,,
223,2.1,,
224,4.563,,
225,4.808,,
226,0.753,,
227,1.862,,
228,1.183,,
229,8.2,,
230,3.679,,
231,2.37,,
234,0.828,,
235,0.719,,
236,2.822,,
237,2.867,,
238,2.332,,
240,4.401,,
241,2.708,,
242,34.13,,
243,5.218,,
244,15.73,,
245,3.045,,
246,1.1,,
247,1.386,,
248,0.915,,
249,2.145,,
250,4.056,,
251,1.668,,
252,7.575,,
253,5.59,,
254,0.708,,
255,1.701,,
256,1.467,,
258,2.582,,
259,22.08,,
260,16.51,,
262,56.26,,
263,2.433,,
264,0.5,,
265,29.13,,
266,12.3,,
267,3.445,,
268,16.49,,
269,3.365,,
270,1.154,,
271,13.53,,
272,2.229,,
273,28.91,,
274,6.601,,
275,0.948,,
276,3.484,,
278,1.888,,
279,13.95,,
280,6.27,,
281,19.12,,
282,1.633,,
283,1.114,,
284,3.9,,
285,3.521,,
286,3.832,,
287,3.243,,
289,0.99,,
290,1.203,,
291,2.261,,
292,16.99,,
293,3.322,,
294,14.33,,
295,18.11,,
296,12.81,,
298,1.083,,
299,29.59,,
300,4.287,,
